memberStateCode,memberStateName,beginDate,endDate,price,unit,weekNumber,description
IT,Italy,24/02/2025,02/03/2025,€54.50,Euro / HL.,31,Lugo Vino bianco senza DOP/IGP
IT,Italy,24/02/2025,02/03/2025,€79.20,Euro / HL.,31,Lugo Vino rosso DOP
ES,Spain,24/02/2025,02/03/2025,€50.75,Euro / HL.,31,Badajoz vino blanco sin DOP/IGP
ES,Spain,24/02/2025,02/03/2025,€46.34,Euro / HL.,31,Albacete vino tinto sin DOP/IGP
ES,Spain,24/02/2025,02/03/2025,€59.34,Euro / HL.,31,Albacete vino blanco sin DOP/IGP
ES,Spain,24/02/2025,02/03/2025,€48.34,Euro / HL.,31,Ciudad Real vino blanco sin DOP/IGP
ES,Spain,24/02/2025,02/03/2025,€44.33,Euro / HL.,31,Valencia vino tinto sin DOP/IGP
ES,Spain,24/02/2025,02/03/2025,€37.80,Euro / HL.,31,Ciudad Real vino tinto sin DOP/IGP
ES,Spain,24/02/2025,02/03/2025,€46.55,Euro / HL.,31,Toledo vino blanco sin DOP/IGP
ES,Spain,24/02/2025,02/03/2025,€39.61,Euro / HL.,31,Toledo vino tinto sin DOP/IGP
FR,France,27/01/2025,02/02/2025,€62.52,Euro / HL.,27,Rouges et Rosés / Vin sans IG sans mention de cépages
FR,France,27/01/2025,02/02/2025,€97.28,Euro / HL.,27,Blancs / Vin sans IG avec mention de cépages
FR,France,27/01/2025,02/02/2025,€73.11,Euro / HL.,27,Rouges et Rosés / Vin sans IG avec mention de cépages
FR,France,27/01/2025,02/02/2025,€110.05,Euro / HL.,27,Blancs / Vin IGP
FR,France,27/01/2025,02/02/2025,€89.92,Euro / HL.,27,Rouges et Rosés / Vin IGP
FR,France,27/01/2025,02/02/2025,€87.79,Euro / HL.,27,Blancs / Vin sans IG sans mention de cépages
DE,Germany,27/01/2025,02/02/2025,€80.00,Euro / HL.,27,Rheingau Qba Weiß
DE,Germany,27/01/2025,02/02/2025,€70.00,Euro / HL.,27,Pfalz Qba Weiß
DE,Germany,27/01/2025,02/02/2025,€62.50,Euro / HL.,27,Pfalz QbA Rot Dornfelder
DE,Germany,27/01/2025,02/02/2025,€120.00,Euro / HL.,27,Mosel Qba Weiß
IT,Italy,27/01/2025,02/02/2025,€100.00,Euro / HL.,27,Verona Vino bianco DOP
IT,Italy,27/01/2025,02/02/2025,€70.88,Euro / HL.,27,Pescara Vino rosso senza DOP/IGP
IT,Italy,27/01/2025,02/02/2025,€61.75,Euro / HL.,27,Pescara Vino bianco senza DOP/IGP
IT,Italy,27/01/2025,02/02/2025,€79.20,Euro / HL.,27,Lugo Vino rosso DOP
IT,Italy,27/01/2025,02/02/2025,€54.40,Euro / HL.,27,Lugo Vino bianco senza DOP/IGP
IT,Italy,27/01/2025,02/02/2025,€43.70,Euro / HL.,27,Bari Vino rosso senza DOP/IGP
IT,Italy,27/01/2025,02/02/2025,€50.05,Euro / HL.,27,Bari Vino bianco senza DOP/IGP
IT,Italy,27/01/2025,02/02/2025,€55.00,Euro / HL.,27,Verona Vino rosso senza DOP/IGP
IT,Italy,27/01/2025,02/02/2025,€71.88,Euro / HL.,27,Trapani Vino bianco senza DOP/IGP
IT,Italy,27/01/2025,02/02/2025,€61.00,Euro / HL.,27,Trapani Vino rosso senza DOP/IGP
ES,Spain,27/01/2025,02/02/2025,€48.14,Euro / HL.,27,Toledo vino blanco sin DOP/IGP
ES,Spain,27/01/2025,02/02/2025,€47.99,Euro / HL.,27,Ciudad Real vino blanco sin DOP/IGP
ES,Spain,27/01/2025,02/02/2025,€52.26,Euro / HL.,27,Badajoz vino blanco sin DOP/IGP
ES,Spain,27/01/2025,02/02/2025,€60.34,Euro / HL.,27,Albacete vino blanco sin DOP/IGP
ES,Spain,27/01/2025,02/02/2025,€44.03,Euro / HL.,27,Albacete vino tinto sin DOP/IGP
ES,Spain,27/01/2025,02/02/2025,€38.42,Euro / HL.,27,Ciudad Real vino tinto sin DOP/IGP
ES,Spain,27/01/2025,02/02/2025,€42.42,Euro / HL.,27,Toledo vino tinto sin DOP/IGP
ES,Spain,27/01/2025,02/02/2025,€38.12,Euro / HL.,27,Valencia vino tinto sin DOP/IGP
FR,France,30/12/2024,05/01/2025,€87.29,Euro / HL.,23,Rouges et Rosés / Vin sans IG avec mention de cépages
FR,France,30/12/2024,05/01/2025,€120.08,Euro / HL.,23,Rouges et Rosés / Vin IGP
FR,France,30/12/2024,05/01/2025,€132.32,Euro / HL.,23,Rouges et Rosés / Vin AOP
FR,France,30/12/2024,05/01/2025,€84.37,Euro / HL.,23,Blancs / Vin sans IG sans mention de cépages
FR,France,30/12/2024,05/01/2025,€101.90,Euro / HL.,23,Blancs / Vin sans IG avec mention de cépages
FR,France,30/12/2024,05/01/2025,€152.55,Euro / HL.,23,Blancs / Vin AOP
FR,France,30/12/2024,05/01/2025,€108.64,Euro / HL.,23,Blancs / Vin IGP
FR,France,30/12/2024,05/01/2025,€70.16,Euro / HL.,23,Rouges et Rosés / Vin sans IG sans mention de cépages
DE,Germany,30/12/2024,05/01/2025,€70.00,Euro / HL.,23,Pfalz Qba Weiß
DE,Germany,30/12/2024,05/01/2025,€55.00,Euro / HL.,23,Pfalz ohne Rebsorteangabe
DE,Germany,30/12/2024,05/01/2025,€80.00,Euro / HL.,23,Rheingau Qba Weiß
DE,Germany,30/12/2024,05/01/2025,€70.00,Euro / HL.,23,Rheinhessen Qba Weiß
DE,Germany,30/12/2024,05/01/2025,€62.50,Euro / HL.,23,Pfalz QbA Rot Dornfelder
DE,Germany,30/12/2024,05/01/2025,€120.00,Euro / HL.,23,Mosel Qba Weiß
DE,Germany,30/12/2024,05/01/2025,€55.00,Euro / HL.,23,Rheinhessen ohne Rebsorteangabe
IT,Italy,30/12/2024,05/01/2025,€100.00,Euro / HL.,23,Verona Vino bianco DOP
IT,Italy,30/12/2024,05/01/2025,€70.88,Euro / HL.,23,Pescara Vino rosso senza DOP/IGP
IT,Italy,30/12/2024,05/01/2025,€48.45,Euro / HL.,23,Bari Vino bianco senza DOP/IGP
IT,Italy,30/12/2024,05/01/2025,€54.00,Euro / HL.,23,Verona Vino rosso senza DOP/IGP
IT,Italy,30/12/2024,05/01/2025,€61.00,Euro / HL.,23,Trapani Vino rosso senza DOP/IGP
IT,Italy,30/12/2024,05/01/2025,€71.88,Euro / HL.,23,Trapani Vino bianco senza DOP/IGP
IT,Italy,30/12/2024,05/01/2025,€61.75,Euro / HL.,23,Pescara Vino bianco senza DOP/IGP
IT,Italy,30/12/2024,05/01/2025,€79.20,Euro / HL.,23,Lugo Vino rosso DOP
IT,Italy,30/12/2024,05/01/2025,€53.20,Euro / HL.,23,Lugo Vino bianco senza DOP/IGP
IT,Italy,30/12/2024,05/01/2025,€41.42,Euro / HL.,23,Bari Vino rosso senza DOP/IGP
ES,Spain,30/12/2024,05/01/2025,€46.32,Euro / HL.,23,Albacete vino tinto sin DOP/IGP
ES,Spain,30/12/2024,05/01/2025,€52.93,Euro / HL.,23,Badajoz vino blanco sin DOP/IGP
ES,Spain,30/12/2024,05/01/2025,€46.50,Euro / HL.,23,Toledo vino blanco sin DOP/IGP
ES,Spain,30/12/2024,05/01/2025,€46.88,Euro / HL.,23,Ciudad Real vino blanco sin DOP/IGP
ES,Spain,30/12/2024,05/01/2025,€60.37,Euro / HL.,23,Albacete vino blanco sin DOP/IGP
ES,Spain,30/12/2024,05/01/2025,€38.00,Euro / HL.,23,Ciudad Real vino tinto sin DOP/IGP
ES,Spain,30/12/2024,05/01/2025,€42.76,Euro / HL.,23,Toledo vino tinto sin DOP/IGP
ES,Spain,30/12/2024,05/01/2025,€42.18,Euro / HL.,23,Valencia vino tinto sin DOP/IGP
FR,France,25/11/2024,01/12/2024,€154.44,Euro / HL.,18,Rouges et Rosés / Vin AOP
FR,France,25/11/2024,01/12/2024,€100.15,Euro / HL.,18,Blancs / Vin sans IG avec mention de cépages
FR,France,25/11/2024,01/12/2024,€114.51,Euro / HL.,18,Blancs / Vin IGP
FR,France,25/11/2024,01/12/2024,€69.52,Euro / HL.,18,Rouges et Rosés / Vin sans IG sans mention de cépages
FR,France,25/11/2024,01/12/2024,€89.63,Euro / HL.,18,Rouges et Rosés / Vin sans IG avec mention de cépages
FR,France,25/11/2024,01/12/2024,€87.91,Euro / HL.,18,Rouges et Rosés / Vin IGP
FR,France,25/11/2024,01/12/2024,€84.36,Euro / HL.,18,Blancs / Vin sans IG sans mention de cépages
FR,France,25/11/2024,01/12/2024,€154.90,Euro / HL.,18,Blancs / Vin AOP
DE,Germany,25/11/2024,01/12/2024,€75.00,Euro / HL.,18,Rheingau Qba Weiß
DE,Germany,25/11/2024,01/12/2024,€55.00,Euro / HL.,18,Rheinhessen ohne Rebsorteangabe
DE,Germany,25/11/2024,01/12/2024,€70.00,Euro / HL.,18,Pfalz Qba Weiß
DE,Germany,25/11/2024,01/12/2024,€120.00,Euro / HL.,18,Mosel Qba Weiß
DE,Germany,25/11/2024,01/12/2024,€55.00,Euro / HL.,18,Pfalz ohne Rebsorteangabe
IT,Italy,25/11/2024,01/12/2024,€52.50,Euro / HL.,18,Verona Vino rosso senza DOP/IGP
IT,Italy,25/11/2024,01/12/2024,€70.88,Euro / HL.,18,Pescara Vino rosso senza DOP/IGP
IT,Italy,25/11/2024,01/12/2024,€71.88,Euro / HL.,18,Trapani Vino bianco senza DOP/IGP
